,ranks,names,name_links,caps,prices,percents,countries
63,164,Northern Dynasty Minerals,/northern-dynasty-minerals/marketcap/,$0.20 B,$0.38,2.88%,Canada
64,165,Caledonia Mining,/caledonia-mining/marketcap/,$0.19 B,$10.39,4.64%,Jersey
65,166,Gold Royalty Corp,/gold-royalty-corp/marketcap/,$0.19 B,$1.34,5.56%,Canada
66,167,Metalla Royalty & Streaming,/metalla-royalty-streaming/marketcap/,$0.16 B,$3.20,2.38%,Canada
67,168,Nouveau Monde Graphite,/nouveau-monde-graphite/marketcap/,$0.15 B,$2.62,3.56%,Canada
68,169,Galiano Gold,/galiano-gold/marketcap/,$0.14 B,$0.66,4.62%,Canada
0,201,Superior Resources,/superior-resources/marketcap/,$33.04 M,$0.02000,6.90%,Australia
1,202,Toro Energy,/toro-energy/marketcap/,$28.04 M,$0.01000,1.61%,Australia
2,203,Almaden Minerals,/almaden-minerals/marketcap/,$17.85 M,$0.13,12.50%,Canada
3,204,Aurora Energy Metals,/aurora-energy-metals/marketcap/,$13.24 M,$0.07000,1.53%,Australia
4,205,GTI Energy,/gti-energy/marketcap/,$11.83 M,$0.01000,0.66%,Australia
